project_id,street_name,limits,cnn,project_name_full,owner,description_full,dpw_project_class,facility_type,project_status,start_date,end_date,duration,facility_indicator,facility_subindicator,group_code,facility_type_description,create_date,modify_date,project_type,project_url,X,Y,latitude,longitude,location
DPW0762_PR_154,TWIN PEAKS BLVD,GRAYSTONE TER to CROWN TER (150 - 161),12761000,Various Locations Pavement Renovation No 69,,,Paving,Roadway,Planned,12/20/2023 12:00:00 AM,12/18/2024 12:00:00 AM,364,Roadway Surface,,10038032,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5998658.871,2104756.908,37.75918398914854,-122.44770541922456,"(37.75918398914854, -122.44770541922456)"
DPW0682_PR_157,19TH ST,COLLINGWOOD ST intersection,25812000,Various Locations Pavement Renovation No 59,,,Paving,Roadway,Committed,02/13/2023 12:00:00 AM,02/17/2024 12:00:00 AM,369,Roadway Surface,,10037392,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6002054.78617,2104700.51923,37.75922264845457,-122.43595669930403,"(37.75922264845457, -122.43595669930403)"
DPW0938_PR_58,SANSOME ST,PACIFIC AVE to BROADWAY (800 - 899),11554000,"Front St, Sansome St, 1st St and Montgomery St Pavement Renovation",,,Paving,Roadway,Planned,04/18/2026 12:00:00 AM,04/17/2027 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6012116.7803,2118604.88931,37.797967309493494,-122.40213481076971,"(37.797967309493494, -122.40213481076971)"
DPW0571_PR_80,MAGELLAN AVE,PLAZA ST to SOLA AVE (100 - 199),8617000,PW Various Locations No49 Infrastructure Improvements,,1133I,Paving,Roadway,Started,11/01/2021 12:00:00 AM,10/28/2022 12:00:00 AM,361,Roadway Surface,,10033116,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5995070.541,2100843.097,37.74823191987179,-122.45983199805912,"(37.74823191987179, -122.45983199805912)"
DPW0386_PR_50,MISSION ST,WHIPPLE AVE \ WHIPPLE ST intersection,21540000,Joint - SFMTA Lead - Mission St Pavement Renovation 2,,,Paving,Roadway,Planned,05/18/2029 12:00:00 AM,05/18/2030 12:00:00 AM,365,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5998301.38667,2087124.26763,37.71074850919446,-122.44767244243255,"(37.71074850919446, -122.44767244243255)"
DPW1022_PP_127,SANCHEZ ST,14TH ST to HENRY ST (100 - 149),11508000,PW StreetResurfacingPro- BSSR Pavement Prese FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,07/10/2023 12:00:00 AM,371,Roadway Surface,,10038990,Roadway Surface / Paving-Microsurfacing,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Microsurfacing,,6003503.11655,2107574.36444,37.767195706272496,-122.43115280356481,"(37.767195706272496, -122.43115280356481)"
DPW0633_PR_163,15TH ST,SOUTH VAN NESS AVE intersection,24341000,Various Locations Pavement Renovation No 54,,,Paving,Roadway,Started,03/14/2022 12:00:00 AM,06/10/2024 12:00:00 AM,819,Roadway Surface,,10035995,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6007403.70181,2107351.93398,37.76680522877096,-122.41764545269731,"(37.76680522877096, -122.41764545269731)"
DPW1009_PR_2,19TH ST,HAMPSHIRE ST to YORK ST (2600 - 2699),960000,Street Resurfacing Program- BSSR Paving FY 24-25,,,Paving,Roadway,Planned,08/18/2024 12:00:00 AM,08/25/2024 12:00:00 AM,7,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6009986.38081,2105029.02409,37.76057203881794,-122.40854847490279,"(37.76057203881794, -122.40854847490279)"
DPW0929_PR_9,JACKSON ST,LEAVENWORTH ST to WALL PL (1300 - 1370),7392000,Various Locations Pavement Renovation No 80,,,Paving,Roadway,Planned,04/16/2025 12:00:00 AM,04/15/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6007799.38977,2117506.77136,37.794710225870155,-122.41699641026547,"(37.794710225870155, -122.41699641026547)"
DPW0940_PR_13,POST ST,LAGUNA ST to BUCHANAN ST (1600 - 1699),10644000,Various Locations Pavement Renovation No 81,,,Paving,Roadway,Planned,05/21/2025 12:00:00 AM,05/20/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6004273.93287,2114288.2943,37.785674157111195,-122.42896539071724,"(37.785674157111195, -122.42896539071724)"
DPW1012_PR_346,MONTECITO AVE,VALDEZ AVE to COLON AVE (200 - 299),9268000,Street Resurfacing Program- BSSR Paving FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,06/30/2023 12:00:00 AM,361,Roadway Surface,,10038989,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5996223.66841,2094190.26612,37.7300311086876,-122.45536380338261,"(37.7300311086876, -122.45536380338261)"
DPW0939_PR_95,HIGUERA AVE,LAKE MERCED BLVD intersection,23110000,"Brotherhood Way, Holloway Ave and Lake Merced Blvd Pavement Renovation",,,Paving,Roadway,Planned,08/19/2025 12:00:00 AM,08/18/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5987542.54197,2090110.64234,37.71832757705786,-122.48507595031417,"(37.71832757705786, -122.48507595031417)"
DPW0861_PR_31,HAMPSHIRE ST,MARIPOSA ST intersection,24021000,Joint - SFWD Lead - WD-2801,,,Paving,Roadway,Planned,11/27/2022 12:00:00 AM,10/11/2024 12:00:00 AM,684,Roadway Surface,,10035391,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6010076.31143,2105955.79615,37.763121781058054,-122.40830281297468,"(37.763121781058054, -122.40830281297468)"
DPW0861_PR_15,YORK ST,22ND ST to 23RD ST (1000 - 1099),13771000,Joint - SFWD Lead - WD-2801,,,Paving,Roadway,Planned,11/27/2022 12:00:00 AM,10/11/2024 12:00:00 AM,684,Roadway Surface,,10035391,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6009983.73306,2103092.18997,37.755253779349246,-122.40842101190215,"(37.755253779349246, -122.40842101190215)"
DPW0740_PR_34,26TH AVE,TARAVAL ST intersection,23264000,Joint - SFMTA Lead - PW Taraval Street Improvement Project West Portal to Sunset Blvd,,,Paving,Roadway,Started,12/01/2021 12:00:00 AM,10/30/2023 12:00:00 AM,698,Roadway Surface,,2815J,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5988275.43,2098978.903,37.74272020055475,-122.48319238066615,"(37.74272020055475, -122.48319238066615)"
DPW0767_PR_102,42ND AVE,SLOAT BLVD intersection,23445000,Various Locations Pavement Renovation No 64,,,Paving,Roadway,Committed,06/22/2023 12:00:00 AM,06/21/2024 12:00:00 AM,365,Roadway Surface,,10037782,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5983337.76066,2096237.65097,37.73490488607606,-122.50006255774348,"(37.73490488607606, -122.50006255774348)"
DPW0685_PR_124,UTAH ST,23RD ST to 24TH ST (1200 - 1299),13044000,Various Locations Pavement Renovation No 56,,,Paving,Roadway,Committed,10/08/2022 12:00:00 AM,10/07/2023 12:00:00 AM,364,Roadway Surface,,10035992,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6010847.53486,2102508.89576,37.75370051813511,-122.40539263719268,"(37.75370051813511, -122.40539263719268)"
DPW0935_PR_33,OCTAVIA ST,GREENWICH ST to LOMBARD ST (3000 - 3099),9902000,Various Locations Pavement Renovation No 77,,,Paving,Roadway,Planned,01/12/2025 12:00:00 AM,01/11/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6004263.27354,2119590.93552,37.80023325809975,-122.42938054179177,"(37.80023325809975, -122.42938054179177)"
DPW0941_PR_64,JERROLD AVE,TOLAND ST intersection,20799000,Various Locations Pavement Renovation No 82,,,Paving,Roadway,Planned,06/20/2025 12:00:00 AM,06/19/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6012697.483,2098973.393,37.744096047336505,-122.39874695837334,"(37.744096047336505, -122.39874695837334)"
DPW0607_PR_32,20TH ST,CASTRO ST to COLLINGWOOD ST (4200 - 4322),1067000,"McAllister St, 20th St and 24th St Pavement Renovation and Sewer Replacement project",,,Paving,Roadway,Planned,10/25/2023 12:00:00 AM,10/25/2024 12:00:00 AM,366,Roadway Surface,,10038016,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6002246.4272,2104125.55048,37.757654807946615,-122.43525278676971,"(37.757654807946615, -122.43525278676971)"
DPW0649_PR_11,KINGSTON ST,PROSPECT AVE intersection,21322000,Joint - SFWD Lead - Prospect Ave Pavement Renovation (WD-2718),,,Paving,Roadway,Started,01/03/2022 12:00:00 AM,11/24/2023 12:00:00 AM,690,Roadway Surface,,2903J,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6006419.61353,2097958.04293,37.74095634142992,-122.42038242290353,"(37.74095634142992, -122.42038242290353)"
DPW0941_PR_77,FRONT ST,PINE ST intersection,24673000,Various Locations Pavement Renovation No 82,,,Paving,Roadway,Planned,06/20/2025 12:00:00 AM,06/19/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6013100.34154,2116560.30213,37.792408207039344,-122.39858783459101,"(37.792408207039344, -122.39858783459101)"
DPW0937_PR_24,OAK ST,FILLMORE ST to STEINER ST (700 - 799),9757000,Various Locations Pavement Renovation No 78,,,Paving,Roadway,Planned,02/19/2025 12:00:00 AM,02/18/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6003410.514,2110006.385,37.77386820681584,-122.43164675334074,"(37.77386820681584, -122.43164675334074)"
DPW0940_PR_9,EDDY ST,FRANKLIN ST to GOUGH ST (900 - 999),5067000,Various Locations Pavement Renovation No 81,,,Paving,Roadway,Planned,05/21/2025 12:00:00 AM,05/20/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6005891.966,2113126.899,37.78257671713285,-122.42328486468344,"(37.78257671713285, -122.42328486468344)"
DPW0756_PR_33,ILLINOIS ST,24TH ST to 25TH ST (1400 - 1499),7173000,Various Locations Pavement Renovation X,,,Paving,Roadway,Planned,01/15/2027 12:00:00 AM,01/15/2028 12:00:00 AM,365,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6016198.6564,2102338.0221,37.753529073093254,-122.38687517113242,"(37.753529073093254, -122.38687517113242)"
DPW0929_PR_38,HYDE ST,TROY ALY to CLAY ST (1230 - 1299),7128000,Various Locations Pavement Renovation No 80,,,Paving,Roadway,Planned,04/16/2025 12:00:00 AM,04/15/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6007576.59341,2116732.15062,37.7925707739842,-122.41771238608231,"(37.7925707739842, -122.41771238608231)"
DPW0941_PR_50,30TH ST,NOE ST intersection,21953000,Various Locations Pavement Renovation No 82,,,Paving,Roadway,Planned,06/20/2025 12:00:00 AM,06/19/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6003389.1496,2098339.7238,37.74183311148023,-122.43088787910652,"(37.74183311148023, -122.43088787910652)"
DPW0939_PR_52,BROTHERHOOD WAY,JUNIPERO SERRA BLVD OFF RAMP to JUNIPERO SERRA BLVD ON RAMP (651 - 699) -- SOUTH --,3240103,"Brotherhood Way, Holloway Ave and Lake Merced Blvd Pavement Renovation",,,Paving,Roadway,Planned,08/19/2025 12:00:00 AM,08/18/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5991234.884,2087983.312,37.712700848255196,-122.4721582200744,"(37.712700848255196, -122.4721582200744)"
DPW0929_PR_24,OFARRELL ST,MASON ST to TAYLOR ST (300 - 399),9726000,Various Locations Pavement Renovation No 80,,,Paving,Roadway,Planned,04/16/2025 12:00:00 AM,04/15/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6009610.84737,2114333.68854,37.78609943916075,-122.41050432805332,"(37.78609943916075, -122.41050432805332)"
DPW1012_PR_173,MAPLE ST,START: 1-99 BLOCK to JACKSON ST (1 - 99),8678000,Street Resurfacing Program- BSSR Paving FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,06/30/2023 12:00:00 AM,361,Roadway Surface,,10038989,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5996547.37151,2116029.68854,37.79001518199035,-122.45582284699144,"(37.79001518199035, -122.45582284699144)"
DPW0943_PP_20,KING ST,07TH ST to DIVISION ST (600 - 699),7837000,As Needed Citywide Pavement Preservation Contract 5 (General As-Needed Contract G22),,,Paving,Roadway,Committed,04/17/2023 12:00:00 AM,10/21/2025 12:00:00 AM,918,Roadway Surface,,10037345,Roadway Surface / Paving-Microsurfacing,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Microsurfacing,,6012066.89332,2108603.02364,37.770501738293966,-122.40160408918588,"(37.770501738293966, -122.40160408918588)"
DPW0766_PR_141,14TH ST,ROSEMONT PL intersection,25845000,Various Locations Pavement Renovation No 66,,,Paving,Roadway,Planned,01/03/2024 12:00:00 AM,01/02/2025 12:00:00 AM,365,Roadway Surface,,10037789,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6005131.85263,2107811.39474,37.76793869642956,-122.42553611198717,"(37.76793869642956, -122.42553611198717)"
DPW0936_PR_43,14TH ST,MINNA ST to MISSION ST (264 - 299),584000,Various Locations Pavement Renovation No 75,,,Paving,Roadway,Planned,10/19/2024 12:00:00 AM,10/18/2025 12:00:00 AM,364,Roadway Surface,,10037892,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6006849.05818,2107906.41916,37.76829648810659,-122.41960322186132,"(37.76829648810659, -122.41960322186132)"
DPW0931_PR_58,FREDERICK ST,WILLARD ST to ARGUELLO BLVD \ LINCOLN WAY (600 - 799),5855000,Various Locations Pavement Renovation No 85,,,Paving,Roadway,Planned,09/16/2025 12:00:00 AM,09/15/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5996255.977,2107275.596,37.76596203562801,-122.45619783895808,"(37.76596203562801, -122.45619783895808)"
DPW1051_PR_46,SACRAMENTO ST,KEARNY ST to GRANT AVE (700 - 799),11228000,Various Locations Pavement Renovation No 86,,,Paving,Roadway,Planned,10/19/2025 12:00:00 AM,10/18/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6011148.48334,2116987.54666,37.79347238312954,-122.40537145338423,"(37.79347238312954, -122.40537145338423)"
DPW0929_PR_17,MASON ST,JACKSON ST to JOHN ST (1300 - 1349),8819000,Various Locations Pavement Renovation No 80,,,Paving,Roadway,Planned,04/16/2025 12:00:00 AM,04/15/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6009369.21345,2117809.48759,37.79562959092191,-122.41158598699428,"(37.79562959092191, -122.41158598699428)"
DPW0937_PR_31,OCTAVIA ST,BIRCH ST to FULTON ST (636 - 699),9887000,Various Locations Pavement Renovation No 78,,,Paving,Roadway,Planned,02/19/2025 12:00:00 AM,02/18/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6005378.56346,2111581.66524,37.77830488407818,-122.42495104339669,"(37.77830488407818, -122.42495104339669)"
DPW0683_PR_69,01ST ST,GUY PL to LANSING ST (333 - 363),112000,Various Locations Pavement Renovation No 62,,,Paving,Roadway,Planned,11/13/2023 12:00:00 AM,11/11/2024 12:00:00 AM,364,Roadway Surface,,10037764,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6014475.03297,2114439.7087,37.786662038646604,-122.39368283733671,"(37.786662038646604, -122.39368283733671)"
DPW0349_PR_29,JUNIPERO SERRA BLVD,MONCADA WAY intersection,33406000,Junipero Serra Blvd Pavement Renovation,,,Paving,Roadway,Committed,10/05/2022 12:00:00 AM,10/05/2023 12:00:00 AM,365,Roadway Surface,,10036700,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5991542.203,2094198.49,37.729783963984694,-122.47154865255064,"(37.729783963984694, -122.47154865255064)"
DPW1012_PR_327,COVENTRY CT,COVENTRY LN intersection,50662000,Street Resurfacing Program- BSSR Paving FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,06/30/2023 12:00:00 AM,361,Roadway Surface,,10038989,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5997075.06308,2096531.30722,37.73650786043425,-122.45258932666765,"(37.73650786043425, -122.45258932666765)"
DPW0764_PR_148,18TH AVE,LAKE ST intersection,27634000,Various Locations Pavement Renovation No 67,,,Paving,Roadway,Planned,10/20/2023 12:00:00 AM,10/20/2024 12:00:00 AM,366,Roadway Surface,,10037804,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5990212.96215,2114729.54571,37.7860797807858,-122.47764405780781,"(37.7860797807858, -122.47764405780781)"
DPW0937_PR_26,OAK ST,SCOTT ST to DIVISADERO ST (1000 - 1099),9760000,Various Locations Pavement Renovation No 78,,,Paving,Roadway,Planned,02/19/2025 12:00:00 AM,02/18/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6001978.16064,2109807.05615,37.77323959171535,-122.43658722065312,"(37.77323959171535, -122.43658722065312)"
DPW0567_PR_37,TARA ST,RIDGE LN to MAJESTIC AVE \ RIDGE LN (162 - 199),11023000,PW As Needed Concrete Panel Replacement,,,Paving,Roadway,Started,11/11/2019 12:00:00 AM,11/04/2022 12:00:00 AM,1089,Roadway Surface,,2935J,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5997520.43,2089921.815,37.71838527975038,-122.45057315035388,"(37.71838527975038, -122.45057315035388)"
DPW0643_PR_132,25TH ST,SOUTH VAN NESS AVE to CYPRESS ST (3300 - 3325),1437000,Various Locations Pavement Renovation No 55 and Sewer Replacement,,1233I,Paving,Roadway,Started,08/01/2022 12:00:00 AM,07/20/2024 12:00:00 AM,719,Roadway Surface,,10035932,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6007646.97101,2101501.17589,37.7507540789341,-122.41638956381425,"(37.7507540789341, -122.41638956381425)"
DPW0688_PR_16,JUANITA WAY,REX AVE to MARNE AVE (250 - 299),7637000,"Claremont, Juanita, and Yerba Buena Pavement Renovation",,,Paving,Roadway,Committed,03/18/2023 12:00:00 AM,03/16/2024 12:00:00 AM,364,Roadway Surface,,10037323,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5995592.034,2097680.709,37.73957876440982,-122.45779990036247,"(37.73957876440982, -122.45779990036247)"
DPW0571_PR_79,MAGELLAN AVE,CASTENADA AVE \ FOREST HILL PATH to PLAZA ST (2 - 98) -- NORTH --,8616201,PW Various Locations No49 Infrastructure Improvements,,1133I,Paving,Roadway,Started,11/01/2021 12:00:00 AM,10/28/2022 12:00:00 AM,361,Roadway Surface,,10033116,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5994761.902,2101148.191,37.749051876664176,-122.46092136416644,"(37.749051876664176, -122.46092136416644)"
